City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
310,Tukrah,LY,85.59,clear sky,32.5341,20.5791,Lagrota restaurant
311,Quatre Cocos,MU,68.09,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
312,Ayolas,PY,75.0,overcast clouds,-27.4,-56.9,Hotel Ayolas
313,Masagua,GT,81.82,overcast clouds,14.2031,-90.8481,Hotel La Esmeralda
314,Marquette,US,62.78,overcast clouds,46.5333,-87.6335,Al Quaal Lodge
315,Katsuura,JP,72.64,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
316,Rio Grande,BR,57.31,moderate rain,-32.035,-52.0986,Hotel Atlântico Rio Grande
317,Milkovo,RU,58.21,overcast clouds,54.7167,158.6167,"Hotel ""Geologist"""
318,Homer,US,57.09,broken clouds,59.6425,-151.5483,Beluga Lake Lodge
321,Fort Nelson,CA,64.18,few clouds,58.8053,-122.7002,The Fort Nelson Hotel
322,Iwaki,JP,75.78,overcast clouds,37.05,140.8833,Toyoko Inn Iwaki Ekimae
323,Lima,PE,61.9,overcast clouds,-12.0432,-77.0282,Hotel Kamana
324,Okha,RU,63.0,few clouds,53.5739,142.9478,Sakhalin-Sfera
325,Vostok,RU,65.01,few clouds,46.4856,135.8833,
326,Fujisawa,JP,76.98,moderate rain,35.3419,139.47,Toyoko INN Shonan Kamakura Fujisawa Station North
328,Port Blair,IN,82.26,light rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
329,Ingham,US,71.22,overcast clouds,42.6,-84.3833,Sunset Mobile Home Park
330,Novikovo,RU,83.89,few clouds,51.1537,37.8879,
331,Pangoa,PE,83.17,broken clouds,-12.1167,-73.0,
332,Manjacaze,MZ,68.13,clear sky,-24.7117,33.8828,Hotel Gani
333,Hasaki,JP,73.8,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
334,Sao Jose Da Coroa Grande,BR,79.45,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
335,Anloga,GH,79.77,broken clouds,5.7947,0.8973,Pin Drop Hotel
337,Berdigestyakh,RU,59.36,overcast clouds,62.0989,126.6992,
340,Manzhouli,CN,60.58,broken clouds,49.6,117.4333,Angala International Youth Hostel
341,Marang,MY,80.29,overcast clouds,5.2056,103.2059,DBarakah Homestay
342,Wicklow,IE,63.05,overcast clouds,53.0,-6.4167,Glenmalure Hostel
